Model,Optimization,Total 'kernel' inference time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Total sequential executor time,Avg. sequential executor time per batch,Avg. sequential executor time per image,Total model run time,Avg. model run time per batch,Avg. model run time per image,Total ONNX runtime overhead,Avg. ONNX runtime overhead per batch,Avg. ONNX runtime overhead per image,FPS,total_nodes_executed,p95_node_latency_ms,Max Memory Arena Consumption,Weights Memory Consumptions,Accuracy,Avg. Loss
resnet18,Base,98376.167,137.58904475524477,137.58904475524477,98636.577,137.95325454545454,137.95325454545454,98666.211,137.9947006993007,137.9947006993007,29.63399999999092,0.041446153846152356,0.041446153846152356,7.24665508843752,17160,12.917099999999998,3.06MB,42.62MB,95.94405594405595,0.14547923444136274
resnet18,Quantization,24164.924,33.797096503496505,33.797096503496505,24411.374,34.14178181818182,34.14178181818182,24451.277,34.19759020979021,34.19759020979021,39.90299999999843,0.05580839160838735,0.05580839160838735,29.241826510738072,25740,4.675049999999999,784.00KB,42.55KB,86.57342657342657,0.6419733813824172
resnet18,Pruning,87098.292,121.815793006993,121.815793006993,87378.619,122.20785874125875,122.20785874125875,87408.509,122.24966293706295,122.24966293706295,29.889999999999418,0.041804195804203914,0.041804195804203914,8.179981653731216,17160,12.19905,2.68MB,37.37MB,80.6993006993007,1.2708882793978666
resnet18,Distillation,95348.818,133.3549902097902,133.3549902097902,95627.739,133.74508951048952,133.74508951048952,95658.054,133.7874881118881,133.7874881118881,30.31500000000233,0.0423986013985882,0.0423986013985882,7.47454051281453,17160,12.655099999999997,3.06MB,42.62MB,86.99300699300699,0.4447043968356465
mobilenet_v2,Base,33184.075,46.411293706293705,46.411293706293705,33621.921,47.023665734265734,47.023665734265734,33664.178,47.082766433566434,47.082766433566434,42.25699999999779,0.059100699300699944,0.059100699300699944,21.23919378040361,39325,4.180799999999995,4.59MB,8.42MB,98.46153846153847,0.05708842912232655
mobilenet_v2,Quantization,13584.862,18.99980699300699,18.99980699300699,14006.903,19.590074125874125,19.590074125874125,14066.315,19.673167832167834,19.673167832167834,59.41200000000026,0.0830937062937096,0.0830937062937096,50.830654652622236,49335,0.719,1.15MB,150.61KB,82.0979020979021,0.4283469712644674
mobilenet_v2,Pruning,28240.846,39.49768671328672,39.49768671328672,28655.069,40.07701958041958,40.07701958041958,28695.828,40.134025174825176,40.134025174825176,40.75900000000183,0.05700559440559516,0.05700559440559516,24.916513996389998,39325,2.640799999999974,4.21MB,7.46MB,69.37062937062937,0.9211150213753954
mobilenet_v2,Distillation,32520.332,45.48298181818181,45.48298181818181,32923.178,46.046402797202795,46.046402797202795,32963.882,46.103331468531465,46.103331468531465,40.703999999997905,0.05692867132867008,0.05692867132867008,21.69040648792518,39325,3.9045999999999257,4.59MB,8.42MB,98.18181818181819,0.05519982252961777
efficientnet_b0,Base,67072.317,93.80743636363636,93.80743636363636,68082.639,95.22047412587412,95.22047412587412,68155.063,95.32176643356642,95.32176643356642,72.42399999999907,0.10129230769230446,0.10129230769230446,10.490783347966387,117975,2.4372999999999885,4.59MB,15.21MB,98.32167832167832,0.047615103745474896
efficientnet_b0,Quantization,25694.367,35.93617762237762,35.93617762237762,26975.474,37.72793566433566,37.72793566433566,27114.017,37.9217020979021,37.9217020979021,138.54300000000148,0.19376643356643797,0.19376643356643797,26.37012435302375,173745,0.369,2.30MB,269.44KB,49.23076923076923,1.5114722384943762
efficientnet_b0,Pruning,58315.401,81.5600013986014,81.5600013986014,59267.129,82.89108951048951,82.89108951048951,59337.515,82.98953146853147,82.98953146853147,70.3859999999986,0.09844195804195977,0.09844195804195977,12.049712563797119,117975,1.759,4.21MB,13.12MB,70.34965034965035,0.7702027702467893
efficientnet_b0,Distillation,66724.438,93.3208923076923,93.3208923076923,67737.924,94.73835524475524,94.73835524475524,67809.7,94.83874125874125,94.83874125874125,71.77599999999802,0.10038601398601088,0.10038601398601088,10.544214175848,117975,2.382,4.59MB,15.21MB,96.22377622377623,0.09605072731443792
mnasnet1_0,Base,36604.098,51.19454265734265,51.19454265734265,36998.714,51.74645314685315,51.74645314685315,37039.532,51.803541258741255,51.803541258741255,40.8179999999993,0.05708811188810614,0.05708811188810614,19.303699625578425,38610,4.469,2.30MB,11.76MB,85.31468531468532,0.38520128621452754
mnasnet1_0,Quantization,11468.13,16.039342657342655,16.039342657342655,11900.073,16.64345874125874,16.64345874125874,11962.629,16.73094965034965,16.73094965034965,62.556000000000495,0.08749090909090995,0.08749090909090995,59.76947040654692,50050,0.529,588.00KB,167.34KB,66.99300699300699,0.6238620943956442
