Model,Optimization,Total 'kernel' inference time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Total sequential executor time,Avg. sequential executor time per batch,Avg. sequential executor time per image,Total model run time,Avg. model run time per batch,Avg. model run time per image,Total ONNX runtime overhead,Avg. ONNX runtime overhead per batch,Avg. ONNX runtime overhead per image,FPS,total_nodes_executed,p95_node_latency_ms,Max Memory Arena Consumption,Weights Memory Consumptions,Accuracy,Avg. Loss
resnet18,Base,166956.09,233.50502097902097,233.50502097902097,167613.751,234.42482657342657,234.42482657342657,167687.654,234.5281874125874,234.5281874125874,73.90300000002026,0.10336083916084249,0.10336083916084249,4.263879796421984,17160,21.98105,3.06MB,42.62MB,95.94405594405595,0.14547923444136274
resnet18,Quantization,43002.184,60.142914685314686,60.142914685314686,43669.782,61.07661818181818,61.07661818181818,43770.214,61.21708251748252,61.21708251748252,100.4320000000007,0.14046433566433336,0.14046433566433336,16.335309669721973,25740,8.801,784.00KB,42.55KB,86.57342657342657,0.6419733813824172
resnet18,Pruning,145613.777,203.65563216783218,203.65563216783218,146258.89,204.55788811188813,204.55788811188813,146331.276,204.6591272727273,204.6591272727273,72.3859999999986,0.10123916083915674,0.10123916083915674,4.886173479413928,17160,20.442199999999982,2.68MB,37.37MB,80.6993006993007,1.2708882793978666
resnet18,Distillation,169678.749,237.31293566433567,237.31293566433567,170346.485,238.24683216783214,238.24683216783214,170421.835,238.35221678321676,238.35221678321676,75.35000000000582,0.1053846153846223,0.1053846153846223,4.195471783295844,17160,22.225,3.06MB,42.62MB,86.99300699300699,0.4447043968356465
mobilenet_v2,Base,61471.125,85.9736013986014,85.9736013986014,62651.316,87.62421818181818,87.62421818181818,62754.648,87.76873846153846,87.76873846153846,103.33200000000215,0.14452027972028247,0.14452027972028247,11.39357836888831,39325,8.430799999999994,4.59MB,8.42MB,98.46153846153847,0.05708842912232655
mobilenet_v2,Quantization,27049.782,37.83186293706294,37.83186293706294,28337.671,39.63310629370629,39.63310629370629,28503.5,39.865034965034965,39.865034965034965,165.82900000000154,0.23192867132867434,0.23192867132867434,25.084638728577193,49335,2.0572999999999957,1.15MB,150.61KB,82.0979020979021,0.4283469712644674
mobilenet_v2,Pruning,53369.97,74.64331468531469,74.64331468531469,54578.034,76.33291468531469,76.33291468531469,54679.713,76.47512307692308,76.47512307692308,101.67900000000373,0.14220839160839205,0.14220839160839205,13.076147638156037,39325,7.245199999999983,4.21MB,7.46MB,69.37062937062937,0.9211150213753954
mobilenet_v2,Distillation,62104.004,86.85874685314685,86.85874685314685,63337.219,88.58352307692307,88.58352307692307,63441.312,88.7291076923077,88.7291076923077,104.09300000000076,0.14558461538462097,0.14558461538462097,11.270258723527029,39325,8.477799999999995,4.59MB,8.42MB,98.18181818181819,0.05519982252961777
efficientnet_b0,Base,117283.667,164.0331006993007,164.0331006993007,120024.54,167.86648951048952,167.86648951048952,120198.542,168.10984895104895,168.10984895104895,174.00200000000768,0.2433594405594306,0.2433594405594306,5.94849145507938,117975,5.528,4.59MB,15.21MB,98.32167832167832,0.047615103745474896
efficientnet_b0,Quantization,46703.496,65.31957482517483,65.31957482517483,50073.728,70.03318601398601,70.03318601398601,50439.159,70.54427832167832,70.54427832167832,365.43099999999686,0.5110923076923086,0.5110923076923086,14.175494083872413,173745,0.756,2.30MB,269.44KB,49.23076923076923,1.5114722384943762
efficientnet_b0,Pruning,104563.2,146.24223776223775,146.24223776223775,107278.063,150.03924895104893,150.03924895104893,107455.545,150.28747552447552,150.28747552447552,177.4820000000036,0.24822657342659227,0.24822657342659227,6.653914416422158,117975,4.870299999999989,4.21MB,13.12MB,70.34965034965035,0.7702027702467893
efficientnet_b0,Distillation,118658.358,165.95574545454545,165.95574545454545,121448.697,169.8583174825175,169.8583174825175,121621.175,170.09954545454545,170.09954545454545,172.4780000000028,0.2412279720279571,0.2412279720279571,5.878910477554587,117975,5.594,4.59MB,15.21MB,96.22377622377623,0.09605072731443792
mnasnet1_0,Base,66293.752,92.71853426573426,92.71853426573426,67453.025,94.33989510489509,94.33989510489509,67556.822,94.48506573426573,94.48506573426573,103.79700000000594,0.1451706293706394,0.1451706293706394,10.583683169702685,38610,8.569,2.30MB,11.76MB,85.31468531468532,0.38520128621452754
mnasnet1_0,Quantization,24585.881,34.38584755244755,34.38584755244755,25745.084,36.00711048951049,36.00711048951049,25914.447,36.243981818181815,36.243981818181815,169.3630000000012,0.23687132867132732,0.23687132867132732,27.59078748622342,50050,1.303,588.00KB,167.34KB,66.99300699300699,0.6238620943956442
mnasnet1_0,Pruning,55856.036,78.12033006993008,78.12033006993008,56991.255,79.70804895104895,79.70804895104895,57100.807,79.86126853146854,79.86126853146854,109.55200000000332,0.15321958041958794,0.15321958041958794,12.521714447923651,38610,8.361,1.91MB,10.30MB,78.88111888111888,0.4621742544384141
mnasnet1_0,Distillation,67246.813,94.0514867132867,94.0514867132867,68495.505,95.7979090909091,95.7979090909091,68597.211,95.94015524475523,95.94015524475523,101.70599999999104,0.1422461538461306,0.1422461538461306,10.423164288705559,38610,8.598,2.30MB,11.76MB,82.65734265734265,0.5190731505750698
resnet18,Base,166169.836,232.40536503496506,232.40536503496506,166756.649,233.22608251748252,233.22608251748252,166829.724,233.3282853146853,233.3282853146853,73.07499999998254,0.10220279720277858,0.10220279720277858,4.285807006430101,17160,21.98905,3.06MB,42.62MB,95.94405594405595,0.14547923444136274
resnet18,Quantization,41829.635,58.50298601398602,58.50298601398602,42517.539,59.465089510489506,59.465089510489506,42615.452,59.602030769230765,59.602030769230765,97.91300000000047,0.13694125874125973,0.13694125874125973,16.777951809592448,25740,8.70005,784.00KB,42.55KB,86.57342657342657,0.6419733813824172
resnet18,Pruning,146115.44,204.35725874125873,204.35725874125873,146721.637,205.2050867132867,205.2050867132867,146795.339,205.30816643356644,205.30816643356644,73.70200000001932,0.10307972027973733,0.10307972027973733,4.87072685598008,17160,20.661299999999997,2.68MB,37.37MB,80.6993006993007,1.2708882793978666
resnet18,Distillation,165354.572,231.26513566433565,231.26513566433565,165995.365,232.16134965034965,232.16134965034965,166070.275,232.26611888111887,232.26611888111887,74.91000000000349,0.10476923076922162,0.10476923076922162,4.30540625045632,17160,21.994,3.06MB,42.62MB,86.99300699300699,0.4447043968356465
mobilenet_v2,Base,62181.208,86.96672447552447,86.96672447552447,63328.862,88.57183496503497,88.57183496503497,63431.504,88.71539020979021,88.71539020979021,102.64199999999983,0.14355524475524817,0.14355524475524817,11.272001370170885,39325,8.437,4.59MB,8.42MB,98.46153846153847,0.05708842912232655
mobilenet_v2,Quantization,27558.205,38.542944055944055,38.542944055944055,28794.838,40.2725006993007,40.2725006993007,28958.508,40.50140979020979,40.50140979020979,163.6700000000019,0.22890909090909162,0.22890909090909162,24.690498557453303,49335,1.9665999999999912,1.15MB,150.61KB,82.0979020979021,0.4283469712644674
mobilenet_v2,Pruning,54219.079,75.83087972027971,75.83087972027971,55254.343,77.2788013986014,77.2788013986014,55357.381,77.42291048951049,77.42291048951049,103.03800000000047,0.1441090909090832,0.1441090909090832,12.916073468143301,39325,8.238,4.21MB,7.46MB,69.37062937062937,0.9211150213753954
mobilenet_v2,Distillation,63393.717,88.66254125874126,88.66254125874126,64549.544,90.27908251748252,90.27908251748252,64656.362,90.42847832167833,90.42847832167833,106.8179999999993,0.14939580419580523,0.14939580419580523,11.05846320273943,39325,8.501,4.59MB,8.42MB,98.18181818181819,0.05519982252961777
efficientnet_b0,Base,118440.035,165.6503986013986,165.6503986013986,121143.493,169.43145874125875,169.43145874125875,121316.435,169.67333566433567,169.67333566433567,172.94199999999546,0.24187692307691577,0.24187692307691577,5.893677967045438,117975,5.701599999999977,4.59MB,15.21MB,98.32167832167832,0.047615103745474896
efficientnet_b0,Quantization,46245.749,64.67936923076924,64.67936923076924,49416.914,69.11456503496503,69.11456503496503,49784.837,69.62914265734265,69.62914265734265,367.9230000000025,0.5145776223776295,0.5145776223776295,14.361802570529658,173745,0.764,2.30MB,269.44KB,49.23076923076923,1.5114722384943762
efficientnet_b0,Pruning,105749.801,147.90181958041958,147.90181958041958,108277.345,151.43684615384615,151.43684615384615,108452.481,151.68179160839162,151.68179160839162,175.1359999999986,0.24494545454547278,0.24494545454547278,6.592749132221327,117975,4.906299999999988,4.21MB,13.12MB,70.34965034965035,0.7702027702467893
efficientnet_b0,Distillation,118196.76,165.31015384615384,165.31015384615384,121020.452,169.25937342657343,169.25937342657343,121206.103,169.51902517482517,169.51902517482517,185.65099999999802,0.2596517482517413,0.2596517482517413,5.899042888954197,117975,5.652,4.59MB,15.21MB,96.22377622377623,0.09605072731443792
mnasnet1_0,Base,66841.711,93.48491048951048,93.48491048951048,68035.949,95.15517342657341,95.15517342657341,68138.218,95.29820699300699,95.29820699300699,102.26900000000023,0.1430335664335729,0.1430335664335729,10.493376859371345,38610,8.617,2.30MB,11.76MB,85.31468531468532,0.38520128621452754
mnasnet1_0,Quantization,23605.479,33.014655944055946,33.014655944055946,24804.708,34.6918993006993,34.6918993006993,24968.055,34.92035664335664,34.92035664335664,163.34700000000157,0.22845734265734308,0.22845734265734308,28.636591837049384,50050,1.279,588.00KB,167.34KB,66.99300699300699,0.6238620943956442
