Model,Optimization,Total 'kernel' inference time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Total sequential executor time,Avg. sequential executor time per batch,Avg. sequential executor time per image,Total model run time,Avg. model run time per batch,Avg. model run time per image,Total ONNX runtime overhead,Avg. ONNX runtime overhead per batch,Avg. ONNX runtime overhead per image,FPS,total_nodes_executed,p95_node_latency_ms,Max Memory Arena Consumption,Weights Memory Consumptions,Accuracy,Avg. Loss
resnet18,Base,135579.095,189.6211118881119,189.6211118881119,135840.451,189.98664475524475,189.98664475524475,135881.569,190.04415244755242,190.04415244755242,41.11799999998766,0.0575076923076665,0.0575076923076665,5.2619351193979815,17160,18.87549999999999,3.06MB,42.62MB,95.94405594405595,0.14547923444136274
resnet18,Quantization,37466.036,52.40005034965035,52.40005034965035,37756.958,52.80693426573426,52.80693426573426,37813.103,52.885458741258745,52.885458741258745,56.145000000004075,0.07852447552448183,0.07852447552448183,18.908789368595325,25740,8.019099999999998,784.00KB,42.55KB,86.57342657342657,0.6419733813824172
resnet18,Pruning,118671.72,165.97443356643356,165.97443356643356,118945.673,166.3575846153846,166.3575846153846,118981.796,166.40810629370628,166.40810629370628,36.12300000000687,0.050521678321672425,0.050521678321672425,6.00932263621235,17160,16.718,2.68MB,37.37MB,80.6993006993007,1.2708882793978666
resnet18,Distillation,136654.399,191.1250335664336,191.1250335664336,136928.678,191.50864055944058,191.50864055944058,136969.56,191.56581818181817,191.56581818181817,40.881999999983236,0.05717762237759416,0.05717762237759416,5.220137963500796,17160,19.209199999999996,3.06MB,42.62MB,86.99300699300699,0.4447043968356465
mobilenet_v2,Base,50740.148,70.96524195804196,70.96524195804196,51183.32,71.58506293706294,71.58506293706294,51240.873,71.66555664335664,71.66555664335664,57.552999999999884,0.08049370629369434,0.08049370629369434,13.953704496798874,39325,6.1257999999999955,4.59MB,8.42MB,98.46153846153847,0.05708842912232655
mobilenet_v2,Quantization,22365.94,31.281034965034962,31.281034965034962,22804.462,31.894352447552446,31.894352447552446,22882.788,32.0038993006993,32.0038993006993,78.32600000000093,0.1095468531468562,0.1095468531468562,31.246192553110223,49335,2.2762999999999955,1.15MB,150.61KB,82.0979020979021,0.4283469712644674
mobilenet_v2,Pruning,44931.655,62.84147552447552,62.84147552447552,45376.372,63.46345734265735,63.46345734265735,45429.018,63.53708811188811,63.53708811188811,52.645999999993364,0.0736307692307605,0.0736307692307605,15.738838994934913,39325,5.892599999999991,4.21MB,7.46MB,69.37062937062937,0.9211150213753954
mobilenet_v2,Distillation,51796.091,72.44208531468531,72.44208531468531,52233.879,73.05437622377623,73.05437622377623,52287.27,73.12904895104894,73.12904895104894,53.390999999995984,0.07467272727271279,0.07467272727271279,13.674456516853912,39325,6.273,4.59MB,8.42MB,98.18181818181819,0.05519982252961777
efficientnet_b0,Base,105941.8,148.17034965034966,148.17034965034966,107043.077,149.7105972027972,149.7105972027972,107129.488,149.83145174825174,149.83145174825174,86.41099999999278,0.12085454545453445,0.12085454545453445,6.674166126883758,117975,5.471299999999989,4.59MB,15.21MB,98.32167832167832,0.047615103745474896
efficientnet_b0,Quantization,37518.138,52.47292027972028,52.47292027972028,38768.95,54.22230769230769,54.22230769230769,38929.378,54.446682517482515,54.446682517482515,160.42799999999988,0.2243748251748272,0.2243748251748272,18.366591934759402,173745,0.521,2.30MB,269.44KB,49.23076923076923,1.5114722384943762
efficientnet_b0,Pruning,94949.369,132.79632027972028,132.79632027972028,96022.215,134.29680419580419,134.29680419580419,96113.111,134.42393146853146,134.42393146853146,90.89600000000792,0.12712727272727875,0.12712727272727875,7.439151563827749,117975,4.907,4.21MB,13.12MB,70.34965034965035,0.7702027702467893
