Model,Optimization,Total 'kernel' inference time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Total sequential executor time,Avg. sequential executor time per batch,Avg. sequential executor time per image,Total model run time,Avg. model run time per batch,Avg. model run time per image,Total ONNX runtime overhead,Avg. ONNX runtime overhead per batch,Avg. ONNX runtime overhead per image,FPS,total_nodes_executed,p95_node_latency_ms,Max Memory Arena Consumption,Weights Memory Consumptions,Accuracy,Avg. Loss
resnet18,Base,137898.025,192.86437062937063,192.86437062937063,138160.922,193.23205874125873,193.23205874125873,138199.773,193.2863958041958,193.2863958041958,38.85099999999511,0.05433706293706564,0.05433706293706564,5.1736698583434,17160,19.028149999999997,3.06MB,42.62MB,95.94405594405595,0.14547923444136274
resnet18,Quantization,39535.932,55.29500979020979,55.29500979020979,39820.643,55.69320699300699,55.69320699300699,39876.0,55.77062937062937,55.77062937062937,55.35700000000361,0.07742237762238346,0.07742237762238346,17.930584812920053,25740,8.17,784.00KB,42.55KB,86.57342657342657,0.6419733813824172
resnet18,Pruning,118785.389,166.13341118881118,166.13341118881118,119063.728,166.52269650349652,166.52269650349652,119105.845,166.5816013986014,166.5816013986014,42.11699999999837,0.058904895104888055,0.058904895104888055,6.003063913446061,17160,16.37925,2.68MB,37.37MB,80.6993006993007,1.2708882793978666
resnet18,Distillation,136409.274,190.78220139860142,190.78220139860142,136692.57,191.1784195804196,191.1784195804196,136735.086,191.23788251748252,191.23788251748252,42.51600000000326,0.05946293706293204,0.05946293706293204,5.229089481832045,17160,18.933049999999998,3.06MB,42.62MB,86.99300699300699,0.4447043968356465
mobilenet_v2,Base,50627.099,70.80713146853147,70.80713146853147,51062.526,71.41612027972027,71.41612027972027,51119.82,71.49625174825175,71.49625174825175,57.29400000000169,0.08013146853147646,0.08013146853147646,13.986747214681115,39325,6.228799999999995,4.59MB,8.42MB,98.46153846153847,0.05708842912232655
mobilenet_v2,Quantization,22702.149,31.751257342657343,31.751257342657343,23120.61,32.336517482517486,32.336517482517486,23204.696,32.45412027972028,32.45412027972028,84.08599999999933,0.11760279720279243,0.11760279720279243,30.812728595970402,49335,2.422899999999987,1.15MB,150.61KB,82.0979020979021,0.4283469712644674
mobilenet_v2,Pruning,45089.181,63.0617916083916,63.0617916083916,45525.213,63.67162657342658,63.67162657342658,45581.086,63.74977062937063,63.74977062937063,55.87299999999959,0.07814405594405116,0.07814405594405116,15.686330948762388,39325,5.909,4.21MB,7.46MB,69.37062937062937,0.9211150213753954
mobilenet_v2,Distillation,50104.904,70.07678881118882,70.07678881118882,50522.649,70.66104755244756,70.66104755244756,50581.512,70.74337342657343,70.74337342657343,58.86300000000483,0.08232587412587122,0.08232587412587122,14.135599584290798,39325,6.111799999999995,4.59MB,8.42MB,98.18181818181819,0.05519982252961777
efficientnet_b0,Base,105486.567,147.53366013986013,147.53366013986013,106539.977,149.00696083916083,149.00696083916083,106625.699,149.12685174825174,149.12685174825174,85.7219999999943,0.1198909090909126,0.1198909090909126,6.705700470953068,117975,5.479299999999989,4.59MB,15.21MB,98.32167832167832,0.047615103745474896
efficientnet_b0,Quantization,37577.566,52.55603636363636,52.55603636363636,38904.123,54.411360839160835,54.411360839160835,39088.32,54.66897902097902,54.66897902097902,184.19700000000012,0.25761818181818796,0.25761818181818796,18.291909194357803,173745,0.523,2.30MB,269.44KB,49.23076923076923,1.5114722384943762
efficientnet_b0,Pruning,94630.638,132.35054265734266,132.35054265734266,95663.585,133.7952237762238,133.7952237762238,95752.487,133.91956223776222,133.91956223776222,88.90199999998731,0.12433846153842865,0.12433846153842865,7.467168972853939,117975,4.82,4.21MB,13.12MB,70.34965034965035,0.7702027702467893
efficientnet_b0,Distillation,107074.949,149.7551734265734,149.7551734265734,108231.385,151.37256643356642,151.37256643356642,108318.657,151.4946251748252,151.4946251748252,87.27200000001176,0.12205874125876903,0.12205874125876903,6.600894248531903,117975,5.506299999999988,4.59MB,15.21MB,96.22377622377623,0.09605072731443792
mnasnet1_0,Base,53182.755,74.38147552447552,74.38147552447552,53598.726,74.96325314685315,74.96325314685315,53656.358,75.04385734265735,75.04385734265735,57.63199999999779,0.08060419580419875,0.08060419580419875,13.325541029079908,38610,6.2736499999999875,2.30MB,11.76MB,85.31468531468532,0.38520128621452754
mnasnet1_0,Quantization,19952.011,27.90491048951049,27.90491048951049,20405.41,28.539034965034965,28.539034965034965,20496.475,28.666398601398598,28.666398601398598,91.06499999999869,0.1273636363636328,0.1273636363636328,34.884047134934185,50050,1.542649999999987,588.00KB,167.34KB,66.99300699300699,0.6238620943956442
mnasnet1_0,Pruning,45912.964,64.21393566433566,64.21393566433566,46336.881,64.80682657342658,64.80682657342658,46392.416,64.8844979020979,64.8844979020979,55.53499999999622,0.07767132867132887,0.07767132867132887,15.412001823746364,38610,5.7035499999999955,1.91MB,10.30MB,78.88111888111888,0.4621742544384141
mnasnet1_0,Distillation,52768.941,73.80271468531468,73.80271468531468,53234.305,74.45357342657343,74.45357342657343,53291.907,74.53413566433566,74.53413566433566,57.60199999999895,0.08056223776223703,0.08056223776223703,13.41667131559019,38610,6.262,2.30MB,11.76MB,82.65734265734265,0.5190731505750698
resnet18,Base,135645.889,189.71453006993008,189.71453006993008,135939.533,190.12522097902098,190.12522097902098,135981.51,190.18393006993008,190.18393006993008,41.977000000013504,0.05870909090910459,0.05870909090910459,5.258067806424564,17160,18.896,3.06MB,42.62MB,95.94405594405595,0.14547923444136274
resnet18,Quantization,38109.235,53.29962937062937,53.29962937062937,38373.724,53.66954405594406,53.66954405594406,38427.405,53.74462237762238,53.74462237762238,53.68099999999686,0.07507832167831907,0.07507832167831907,18.606512721845256,25740,7.654049999999999,784.00KB,42.55KB,86.57342657342657,0.6419733813824172
resnet18,Pruning,119781.812,167.5270097902098,167.5270097902098,120067.947,167.9271986013986,167.9271986013986,120110.227,167.98633146853146,167.98633146853146,42.279999999998836,0.0591328671328597,0.0591328671328597,5.9528652793238,17160,16.7011,2.68MB,37.37MB,80.6993006993007,1.2708882793978666
resnet18,Distillation,134883.784,188.64864895104898,188.64864895104898,135169.19,189.04781818181817,189.04781818181817,135212.484,189.10836923076923,189.10836923076923,43.29399999999441,0.06055104895105501,0.06055104895105501,5.287973261403881,17160,18.4631,3.06MB,42.62MB,86.99300699300699,0.4447043968356465
mobilenet_v2,Base,50648.978,70.83773146853147,70.83773146853147,51060.35,71.41307692307691,71.41307692307691,51115.02,71.48953846153846,71.48953846153846,54.669999999998254,0.07646153846154391,0.07646153846154391,13.988060652230988,39325,6.188799999999995,4.59MB,8.42MB,98.46153846153847,0.05708842912232655
mobilenet_v2,Quantization,23277.762,32.55631048951049,32.55631048951049,23706.746,33.15628811188811,33.15628811188811,23783.794,33.26404755244756,33.26404755244756,77.0480000000025,0.1077594405594482,0.1077594405594482,30.062487086795315,49335,2.775,1.15MB,150.61KB,82.0979020979021,0.4283469712644674
mobilenet_v2,Pruning,44813.28,62.675916083916086,62.675916083916086,45250.227,63.28703076923077,63.28703076923077,45302.235,63.35976923076923,63.35976923076923,52.00800000000163,0.07273846153846364,0.07273846153846364,15.782885767115022,39325,5.872799999999995,4.21MB,7.46MB,69.37062937062937,0.9211150213753954
