Model,Optimization,Total 'kernel' inference time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Total sequential executor time,Avg. sequential executor time per batch,Avg. sequential executor time per image,Total model run time,Avg. model run time per batch,Avg. model run time per image,Total ONNX runtime overhead,Avg. ONNX runtime overhead per batch,Avg. ONNX runtime overhead per image,FPS,total_nodes_executed,p95_node_latency_ms,Max Memory Arena Consumption,Weights Memory Consumptions,Accuracy,Avg. Loss
resnet18,Base,394326.884,551.5061314685315,551.5061314685315,394657.787,551.9689328671329,551.9689328671329,394707.059,552.0378447552448,552.0378447552448,49.271999999997206,0.06891188811187021,0.06891188811187021,1.8114700097116831,17160,62.86059999999998,3.06MB,42.62MB,95.94405594405595,0.14547923444136274
resnet18,Quantization,86351.283,120.77102517482517,120.77102517482517,86812.103,121.41552867132867,121.41552867132867,86875.74,121.50453146853148,121.50453146853148,63.637000000002445,0.08900279720280935,0.08900279720280935,8.230145723075278,25740,17.307149999999996,784.00KB,42.55KB,86.57342657342657,0.6419733813824172
resnet18,Pruning,303844.353,424.9571370629371,424.9571370629371,304183.183,425.4310251748252,425.4310251748252,304232.52,425.500027972028,425.500027972028,49.336999999999534,0.06900279720281333,0.06900279720281333,2.350176108721053,17160,49.4573,2.68MB,37.37MB,80.6993006993007,1.2708882793978666
resnet18,Distillation,352934.965,493.6153356643357,493.6153356643357,353254.827,494.0626951048951,494.0626951048951,353306.145,494.13446853146854,494.13446853146854,51.318000000028405,0.07177342657342933,0.07177342657342933,2.023740628683376,17160,53.50109999999999,3.06MB,42.62MB,86.99300699300699,0.4447043968356465
mobilenet_v2,Base,103170.548,144.29447272727273,144.29447272727273,103962.441,145.4020153846154,145.4020153846154,104033.45,145.50132867132868,145.50132867132868,71.00899999999092,0.09931328671328288,0.09931328671328288,6.872789473001231,39325,10.78959999999997,4.59MB,8.42MB,98.46153846153847,0.05708842912232655
mobilenet_v2,Quantization,44595.425,62.37122377622378,62.37122377622378,45290.816,63.343798601398596,63.343798601398596,45394.13,63.4882937062937,63.4882937062937,103.31399999999849,0.14449510489510686,0.14449510489510686,15.750935198009083,49335,4.297899999999987,1.15MB,150.61KB,82.0979020979021,0.4283469712644674
mobilenet_v2,Pruning,91435.422,127.8817090909091,127.8817090909091,92111.372,128.8270937062937,128.8270937062937,92191.627,128.93933846153845,128.93933846153845,80.2549999999901,0.11224475524474542,0.11224475524474542,7.75558500556672,39325,9.713999999999979,4.21MB,7.46MB,69.37062937062937,0.9211150213753954
mobilenet_v2,Distillation,106155.656,148.46944895104895,148.46944895104895,106874.51,149.47483916083917,149.47483916083917,106947.322,149.57667412587412,149.57667412587412,72.81200000000536,0.10183496503495348,0.10183496503495348,6.685534397953415,39325,11.287599999999927,4.59MB,8.42MB,98.18181818181819,0.05519982252961777
efficientnet_b0,Base,214125.157,299.47574405594406,299.47574405594406,215699.897,301.67817762237763,301.67817762237763,215840.988,301.87550769230774,301.87550769230774,141.0910000000149,0.1973300699301035,0.1973300699301035,3.312623828426878,117975,9.035,4.59MB,15.21MB,98.32167832167832,0.047615103745474896
efficientnet_b0,Quantization,76412.242,106.87026853146853,106.87026853146853,78234.916,109.41946293706293,109.41946293706293,78486.37,109.77114685314685,109.77114685314685,251.4539999999979,0.351683916083914,0.351683916083914,9.109862005339272,173745,1.3417999999999883,2.30MB,269.44KB,49.23076923076923,1.5114722384943762
efficientnet_b0,Pruning,189445.871,264.95926013986013,264.95926013986013,190950.903,267.06419999999997,267.06419999999997,191067.174,267.2268167832168,267.2268167832168,116.27100000000792,0.16261678321683348,0.16261678321683348,3.7421394006696302,117975,8.002,4.21MB,13.12MB,70.34965034965035,0.7702027702467893
efficientnet_b0,Distillation,211563.238,295.89264055944057,295.89264055944057,213191.415,298.1698111888112,298.1698111888112,213335.871,298.37184755244755,298.37184755244755,144.4560000000056,0.2020363636363527,0.2020363636363527,3.3515226325909344,117975,8.876,4.59MB,15.21MB,96.22377622377623,0.09605072731443792
mnasnet1_0,Base,115931.194,162.14153006993007,162.14153006993007,116628.141,163.11628111888112,163.11628111888112,116698.394,163.21453706293707,163.21453706293707,70.25299999999697,0.09825594405594984,0.09825594405594984,6.126905225448089,38610,13.067,2.30MB,11.76MB,85.31468531468532,0.38520128621452754
mnasnet1_0,Quantization,39823.277,55.69689090909091,55.69689090909091,40550.896,56.71453986013986,56.71453986013986,40671.359,56.88301958041958,56.88301958041958,120.4629999999961,0.1684797202797199,0.1684797202797199,17.57993874755943,50050,3.224099999999991,588.00KB,167.34KB,66.99300699300699,0.6238620943956442
mnasnet1_0,Pruning,95251.577,133.2189888111888,133.2189888111888,95878.088,134.09522797202797,134.09522797202797,95954.625,134.2022727272727,134.2022727272727,76.53699999999662,0.10704475524474333,0.10704475524474333,7.4514386357093265,38610,10.63,1.91MB,10.30MB,78.88111888111888,0.4621742544384141
mnasnet1_0,Distillation,114682.327,160.39486293706295,160.39486293706295,115353.721,161.33387552447553,161.33387552447553,115420.957,161.42791188811188,161.42791188811188,67.23599999998987,0.0940363636363486,0.0940363636363486,6.19471557491938,38610,12.75894999999996,2.30MB,11.76MB,82.65734265734265,0.5190731505750698
resnet18,Base,365853.872,511.68373706293704,511.68373706293704,366210.488,512.1825006993007,512.1825006993007,366258.16,512.2491748251748,512.2491748251748,47.67199999996228,0.06667412587410126,0.06667412587410126,1.9521749358430678,17160,57.291599999999754,3.06MB,42.62MB,95.94405594405595,0.14547923444136274
resnet18,Quantization,85525.663,119.6163118881119,119.6163118881119,85952.63,120.21346853146854,120.21346853146854,86015.677,120.30164615384615,120.30164615384615,63.046999999991385,0.08817762237761428,0.08817762237761428,8.312438208211743,25740,17.059349999999995,784.00KB,42.55KB,86.57342657342657,0.6419733813824172
resnet18,Pruning,305445.299,427.19622237762235,427.19622237762235,305810.49,427.706979020979,427.706979020979,305865.959,427.784558041958,427.784558041958,55.46899999998277,0.0775790209789875,0.0775790209789875,2.3376252863758533,17160,48.18419999999998,2.68MB,37.37MB,80.6993006993007,1.2708882793978666
resnet18,Distillation,368107.582,514.835779020979,514.835779020979,368463.455,515.3335034965036,515.3335034965036,368515.91,515.4068671328671,515.4068671328671,52.45499999995809,0.07336363636352417,0.07336363636352417,1.940214738625532,17160,56.900049999999986,3.06MB,42.62MB,86.99300699300699,0.4447043968356465
mobilenet_v2,Base,104789.834,146.5592083916084,146.5592083916084,105602.919,147.6963902097902,147.6963902097902,105678.88,147.80262937062938,147.80262937062938,75.96100000001024,0.10623916083918061,0.10623916083918061,6.765779501069655,39325,11.03059999999999,4.59MB,8.42MB,98.46153846153847,0.05708842912232655
mobilenet_v2,Quantization,42039.112,58.79596083916084,58.79596083916084,42700.471,59.72093846153846,59.72093846153846,42805.556,59.867910489510486,59.867910489510486,105.08499999999913,0.14697202797202635,0.14697202797202635,16.703439151683956,49335,3.954299999999996,1.15MB,150.61KB,82.0979020979021,0.4283469712644674
mobilenet_v2,Pruning,90637.836,126.76620419580419,126.76620419580419,91334.46,127.74050349650351,127.74050349650351,91414.284,127.85214545454545,127.85214545454545,79.82399999999325,0.11164195804194321,0.11164195804194321,7.8215347614602555,39325,9.746199999999982,4.21MB,7.46MB,69.37062937062937,0.9211150213753954
mobilenet_v2,Distillation,105232.662,147.17854825174825,147.17854825174825,105953.501,148.18671468531468,148.18671468531468,106026.319,148.28855804195805,148.28855804195805,72.8179999999993,0.10184335664337141,0.10184335664337141,6.743608631739822,39325,11.06659999999999,4.59MB,8.42MB,98.18181818181819,0.05519982252961777
efficientnet_b0,Base,213173.238,298.14438881118883,298.14438881118883,214816.197,300.4422335664336,300.4422335664336,214959.367,300.6424713286713,300.6424713286713,143.1700000000128,0.20023776223774803,0.20023776223774803,3.32621001810077,117975,9.025,4.59MB,15.21MB,98.32167832167832,0.047615103745474896
efficientnet_b0,Quantization,73009.926,102.11178461538462,102.11178461538462,74825.697,104.65132447552448,104.65132447552448,75073.569,104.9979986013986,104.9979986013986,247.87200000000303,0.3466741258741308,0.3466741258741308,9.523991060022736,173745,1.1147999999999885,2.30MB,269.44KB,49.23076923076923,1.5114722384943762
efficientnet_b0,Pruning,188067.174,263.0310125874126,263.0310125874126,189505.269,265.04233426573427,265.04233426573427,189620.428,265.20339580419585,265.20339580419585,115.1590000000142,0.16106153846158122,0.16106153846158122,3.7706907823243596,117975,8.032299999999989,4.21MB,13.12MB,70.34965034965035,0.7702027702467893
efficientnet_b0,Distillation,212716.028,297.5049342657343,297.5049342657343,214305.983,299.72864755244757,299.72864755244757,214448.825,299.9284265734266,299.9284265734266,142.8420000000042,0.19977902097900824,0.19977902097900824,3.3341287834055513,117975,8.85829999999999,4.59MB,15.21MB,96.22377622377623,0.09605072731443792
mnasnet1_0,Base,115895.263,162.09127692307692,162.09127692307692,116619.87,163.1047132867133,163.1047132867133,116693.486,163.20767272727272,163.20767272727272,73.61600000000908,0.10295944055943096,0.10295944055943096,6.1271629163602155,38610,12.838549999999996,2.30MB,11.76MB,85.31468531468532,0.38520128621452754
mnasnet1_0,Quantization,40853.607,57.137911888111894,57.137911888111894,41570.009,58.139872727272724,58.139872727272724,41692.459,58.31113146853147,58.31113146853147,122.45000000000437,0.17125874125874674,0.17125874125874674,17.14938425675492,50050,3.3065499999999957,588.00KB,167.34KB,66.99300699300699,0.6238620943956442
mnasnet1_0,Pruning,97253.57,136.01897902097903,136.01897902097903,97895.652,136.9169958041958,136.9169958041958,97967.841,137.01795944055945,137.01795944055945,72.18899999999849,0.10096363636364458,0.10096363636364458,7.29831333120835,38610,11.024499999999957,1.91MB,10.30MB,78.88111888111888,0.4621742544384141
mnasnet1_0,Distillation,112916.694,157.92544615384617,157.92544615384617,113600.298,158.88153566433564,158.88153566433564,113671.453,158.98105314685313,158.98105314685313,71.15499999999884,0.09951748251748427,0.09951748251748427,6.29005771572217,38610,12.445649999999986,2.30MB,11.76MB,82.65734265734265,0.5190731505750698
resnet18,Base,354249.337,495.4536181818182,495.4536181818182,354615.065,495.9651258741259,495.9651258741259,354665.9,496.03622377622384,496.03622377622384,50.835000000020955,0.07109790209796074,0.07109790209796074,2.01598180146442,17160,54.028,3.06MB,42.62MB,95.94405594405595,0.14547923444136274
resnet18,Quantization,87150.85,121.8893006993007,121.8893006993007,87565.104,122.46867692307693,122.46867692307693,87637.571,122.57002937062937,122.57002937062937,72.46699999998964,0.10135244755244344,0.10135244755244344,8.158601292133028,25740,18.016149999999996,784.00KB,42.55KB,86.57342657342657,0.6419733813824172
resnet18,Pruning,308080.398,430.8816755244755,430.8816755244755,308400.689,431.329634965035,431.329634965035,308449.408,431.3977734265734,431.3977734265734,48.71899999998277,0.06813846153841041,0.06813846153841041,2.3180462709787406,17160,49.875249999999994,2.68MB,37.37MB,80.6993006993007,1.2708882793978666
resnet18,Distillation,353210.604,494.00084475524477,494.00084475524477,353564.417,494.4956881118881,494.4956881118881,353615.509,494.5671454545455,494.5671454545455,51.09200000000419,0.07145734265736792,0.07145734265736792,2.0219701393244036,17160,54.52589999999994,3.06MB,42.62MB,86.99300699300699,0.4447043968356465
mobilenet_v2,Base,104833.527,146.6203174825175,146.6203174825175,105606.458,147.70133986013985,147.70133986013985,105676.78,147.7996923076923,147.7996923076923,70.32200000000012,0.09835244755245753,0.09835244755245753,6.765913950065473,39325,11.112399999999987,4.59MB,8.42MB,98.46153846153847,0.05708842912232655
mobilenet_v2,Quantization,42527.756,59.479379020979025,59.479379020979025,43216.365,60.44246853146853,60.44246853146853,43318.417,60.5851986013986,60.5851986013986,102.05200000000332,0.14273006993007442,0.14273006993007442,16.505681636519636,49335,3.898299999999996,1.15MB,150.61KB,82.0979020979021,0.4283469712644674
mobilenet_v2,Pruning,92803.984,129.7957818181818,129.7957818181818,93519.375,130.79632867132867,130.79632867132867,93592.356,130.8984,130.8984,72.98099999999977,0.10207132867134305,0.10207132867134305,7.639512782432787,39325,10.061199999999982,4.21MB,7.46MB,69.37062937062937,0.9211150213753954
mobilenet_v2,Distillation,104272.719,145.83597062937062,145.83597062937062,104978.206,146.82266573426574,146.82266573426574,105049.259,146.92204055944057,146.92204055944057,71.05299999999988,0.09937482517483431,0.09937482517483431,6.806330732899315,39325,10.898799999999994,4.59MB,8.42MB,98.18181818181819,0.05519982252961777
efficientnet_b0,Base,212958.461,297.8440013986014,297.8440013986014,214618.833,300.1662,300.1662,214749.937,300.34956223776226,300.34956223776226,131.10399999999208,0.18336223776225324,0.18336223776225324,3.3294538288968156,117975,8.994299999999988,4.59MB,15.21MB,98.32167832167832,0.047615103745474896
efficientnet_b0,Quantization,75603.826,105.73961678321679,105.73961678321679,77531.402,108.43552727272727,108.43552727272727,77778.769,108.7814951048951,108.7814951048951,247.36699999999837,0.34596783216782967,0.34596783216782967,9.19273998795224,173745,1.1897999999999884,2.30MB,269.44KB,49.23076923076923,1.5114722384943762
efficientnet_b0,Pruning,186786.025,261.2391958041958,261.2391958041958,188232.554,263.26231328671327,263.26231328671327,188341.57,263.41478321678323,263.41478321678323,109.01600000000326,0.15246993006996945,0.15246993006996945,3.796294147914345,117975,7.921,4.21MB,13.12MB,70.34965034965035,0.7702027702467893
efficientnet_b0,Distillation,213091.202,298.02965314685315,298.02965314685315,214732.746,300.3255188811189,300.3255188811189,214875.074,300.524579020979,300.524579020979,142.3279999999795,0.1990601398600802,0.1990601398600802,3.3275148517226345,117975,9.240699999999896,4.59MB,15.21MB,96.22377622377623,0.09605072731443792
mnasnet1_0,Base,115185.151,161.09811328671327,161.09811328671327,115865.825,162.05010489510488,162.05010489510488,115940.167,162.15407972027973,162.15407972027973,74.34200000000419,0.10397482517484491,0.10397482517484491,6.166974039290456,38610,12.914549999999995,2.30MB,11.76MB,85.31468531468532,0.38520128621452754
mnasnet1_0,Quantization,41197.88,57.61941258741258,57.61941258741258,41911.691,58.61774965034965,58.61774965034965,42030.493,58.783906293706295,58.783906293706295,118.80200000000332,0.16615664335664349,0.16615664335664349,17.011458799686217,50050,3.3976499999999867,588.00KB,167.34KB,66.99300699300699,0.6238620943956442
