Model,Optimization,Total 'kernel' inference time,Avg. 'kernel' inference time per batch,Avg. 'kernel' inference time per image,Total sequential executor time,Avg. sequential executor time per batch,Avg. sequential executor time per image,Total model run time,Avg. model run time per batch,Avg. model run time per image,Total ONNX runtime overhead,Avg. ONNX runtime overhead per batch,Avg. ONNX runtime overhead per image,FPS,total_nodes_executed,p95_node_latency_ms,Max Memory Arena Consumption,Weights Memory Consumptions,Accuracy,Avg. Loss
resnet18,Base,389601.255,544.8968601398601,544.8968601398601,389950.141,545.3848125874126,545.3848125874126,390001.728,545.4569622377622,545.4569622377622,51.586999999999534,0.07214965034961551,0.07214965034961551,1.8333252102924016,17160,61.86024999999999,3.06MB,42.62MB,95.94405594405595,0.14547923444136274
resnet18,Quantization,91772.621,128.35331608391607,128.35331608391607,92224.114,128.98477482517484,128.98477482517484,92296.647,129.08621958041957,129.08621958041957,72.53299999999581,0.10144475524472796,0.10144475524472796,7.74676029130289,25740,19.76325,784.00KB,42.55KB,86.57342657342657,0.6419733813824172
resnet18,Pruning,225632.826,315.570386013986,315.570386013986,225969.339,316.04103356643355,316.04103356643355,226020.572,316.1126881118881,316.1126881118881,51.23299999997835,0.07165454545452121,0.07165454545452121,3.163428858148364,17160,41.948,2.68MB,37.37MB,80.6993006993007,1.2708882793978666
resnet18,Distillation,296232.656,414.31140699300704,414.31140699300704,296604.172,414.8310097902098,414.8310097902098,296653.168,414.89953566433564,414.89953566433564,48.99599999998463,0.06852587412583944,0.06852587412583944,2.4102220273609216,17160,48.802499999999995,3.06MB,42.62MB,86.99300699300699,0.4447043968356465
mobilenet_v2,Base,106775.268,149.33603916083916,149.33603916083916,107543.912,150.41106573426572,150.41106573426572,107630.762,150.53253426573426,150.53253426573426,86.85000000000582,0.12146853146853687,0.12146853146853687,6.643082207296833,39325,11.874999999999979,4.59MB,8.42MB,98.46153846153847,0.05708842912232655
mobilenet_v2,Quantization,46041.928,64.3943048951049,64.3943048951049,46699.741,65.31432307692307,65.31432307692307,46814.737,65.47515664335664,65.47515664335664,114.99599999999919,0.16083356643356694,0.16083356643356694,15.272968424451472,49335,4.709299999999995,1.15MB,150.61KB,82.0979020979021,0.4283469712644674
mobilenet_v2,Pruning,104282.774,145.85003356643358,145.85003356643358,104964.891,146.80404335664335,146.80404335664335,105051.976,146.92584055944056,146.92584055944056,87.08499999999185,0.12179720279721096,0.12179720279721096,6.806154698127715,39325,11.772,4.21MB,7.46MB,69.37062937062937,0.9211150213753954
mobilenet_v2,Distillation,117954.48,164.97130069930068,164.97130069930068,118709.258,166.02693426573427,166.02693426573427,118787.005,166.13567132867132,166.13567132867132,77.74700000000303,0.10873706293705254,0.10873706293705254,6.019176929328254,39325,12.722399999999988,4.59MB,8.42MB,98.18181818181819,0.05519982252961777
efficientnet_b0,Base,178458.894,249.59285874125874,249.59285874125874,179913.746,251.6276167832168,251.6276167832168,180030.345,251.7906923076923,251.7906923076923,116.59899999998743,0.163075524475488,0.163075524475488,3.971552684632138,117975,7.749,4.59MB,15.21MB,98.32167832167832,0.047615103745474896
efficientnet_b0,Quantization,77328.477,108.15171608391609,108.15171608391609,79313.528,110.9280111888112,110.9280111888112,79588.989,111.31327132867133,111.31327132867133,275.4609999999957,0.3852601398601365,0.3852601398601365,8.983654761590198,173745,1.1237999999999884,2.30MB,269.44KB,49.23076923076923,1.5114722384943762
efficientnet_b0,Pruning,169361.406,236.86909930069928,236.86909930069928,170915.557,239.04273706293705,239.04273706293705,171034.055,239.20846853146853,239.20846853146853,118.49799999999232,0.1657314685314759,0.1657314685314759,4.180454003736274,117975,7.796299999999988,4.21MB,13.12MB,70.34965034965035,0.7702027702467893
efficientnet_b0,Distillation,219536.139,307.04355104895103,307.04355104895103,221145.162,309.29393286713287,309.29393286713287,221286.803,309.4920321678322,309.4920321678322,141.64100000000326,0.1980993006993117,0.1980993006993117,3.231100952730561,117975,9.92,4.59MB,15.21MB,96.22377622377623,0.09605072731443792
